Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Central Europe and the Baltics,427831355696,468374571701,527431862890,634787658548,762873141596,886290450380,1002435558362,1265875311783,1529583538571,1286223012130,1312703359581,1446066158639,1351505878829,1422649884075,1463900229119,1286222588315,1313066988022,1450746635300
Switzerland,272055499941,278631271391,301416810214,352914820747,394163688621,408689353999,430921192375,479913034322,554363487120,541506500414,583782977866,699579638638,668043614123,688504173431,709182559935,679289166858,668745279605,678887336848
Chile,77860932152,70979923960,69736811435,75643459840,99210392858,122964812046,154788024806,173605968179,179638496279,172389498445,218537551220,252251992029,267122320057,278384332694,260584090571,243999477738,250036180921,277075944402
China,1211346869605,1339395718865,1470550015082,1660287965663,1955347004963,2285965892361,2752131773355,3552182311653,4598206091384,5109953609257,6100620488868,7572553836875,8560547314679,9607224481533,10482372109962,11064666282626,11190992550230,12237700479375
Cote d'Ivoire,10717022463,11192560827,12346919216,15306602560,16554441847,17084928927,17800887796,20343635320,24224903100,24277493862,24884505035,25381616734,27040562587,31273049200,35372603446,33145096414,36374849865,40388624117
Cameroon,10083937740,10371327756,11579343088,14548845765,17430933517,17944084201,19356046328,22365265026,26409781215,26017925552,26143818510,29337006833,29104437355,32348149947,34942948737,30916218544,32217537943,34798596482
"Congo, Dem. Rep.",19088046306,7438189100,8728038525,8937567060,10297483481,11964484668,14451902468,16737071816,19788515874,18648373312,21565722425,25839749199,29306223081,32671683662,35917650630,37917704900,34991160100,37241300949
"Congo, Rep.",3219910550,2794259783,3019993739,3495868808,4648628921,6087003176,7731261311,8394688284,11859013281,9593537551,12007880439,14425607180,13677930124,14085851348,14177437982,8553154580,7833508879,8722553001
Colombia,99886577331,98203546156,97933391976,94684584163,117074863822,146566264837,162590146096,207416494642,243982437871,233821670544,287018184638,335415156702,369659700376,380191881860,378195716714,291519591533,280090999648,309191382833
Comoros,203846427.7,220093812.2,246737679.5,317562269.4,368143118.7,380372892.6,406111873.5,462453582.9,523134897,524157261,530493353.2,586281766.8,570865941.2,618663921.9,647720707.1,565689764.6,616654490.4,648920942.7
Cabo Verde,539227277.6,563024383.3,620974660.2,813963830.2,924318490.8,971977088.2,1107891063,1513933983,1789333749,1711817182,1664310770,1864824081,1751888562,1850951315,1858121723,1596154666,1638927336,1753736712
Costa Rica,14949514585,15913363335,16504795453,17195867540,18529767934,19952156475,22600431878,26743874206,30612932876,30562361123,37268635287,42262697840,46473128286,49745088112,50577769838,54775972989,56988989897,57057372468
Caribbean small states,34061559105,35068207714,36872616587,39421593800,43139861259,48786092030,54618160956,60670805980,68875542818,58049437076,63131259584,68378335170,70576655404,71378769877,72525038828,70918077437,67787681466,69331419651
Cyprus,10183317625,10567304189,11618269231,14576896942,17422375000,18703146375,20403713461,24077470572,27839460964,25942622951,25562251656,27427161523,25041372222,24084572491,23359294149,19676167240,20153871681,21651791751
